取得日時,NVIDIA (NVDA),TSMC (TSM),Micron (MU),Microsoft (MSFT),Google (GOOGL),Amazon (AMZN),Oracle（ORCL）
2026/08/16 16:46,225.16,426.35,971.66,495.4,345.9,262.65,
2026/08/17 00:09,225.16,426.35,971.66,495.4,345.9,262.65,
2026/08/18 00:09,226.887,433.325,1032.91,483.23,343.39,260.845,
2026/08/19 00:09,218.97,411.81,934.37,482.24,342.79,261.37,
2026/08/20 00:09,219.175,411.62,931.5,484.22,344.715,263.64,
2026/08/21 00:09,217.515,415.45,955.67,480.63,339.721,260.52,
2026/08/22 00:09,215.5,417.74,963.425,484.89,344.24,260.195,
2026/08/23 00:09,214.72,418.95,966.78,483.24,344.82,258.63,
2026/08/24 00:09,208.48,410.12,910.43,487.31,348.06,262.07,142.45
2026/08/25 00:09,213.05,417.41,932.97,491.71,346.96,261.06,144.76
2026/08/26 00:09,209.66,417.69,938.4,496.37,342,260.28,148.87
2026/08/27 22:22,209.66,417.69,938.4,496.37,342,260.28,148.87
2026/08/28 00:44,225.38,424,910.87,498.925,340.565,256.085,147.8
