取得日時,NVIDIA (NVDA),TSMC (TSM),Micron (MU),Microsoft (MSFT),Google (GOOGL),Amazon (AMZN),Oracle (ORCL)
2026/09/01 00:44,219.7,418.52,,511.095,338.56,261.07,149.735
2026/09/02 00:44,219.5,416.58,965.655,,335.9,254.985,143.015
2026/09/03 00:44,227.01,414.46,944.275,495.49,336.81,254.785,144.58
2026/09/04 00:44,227.37,411.175,946.125,512.601,342.345,258.86,152.8
2026/09/05 00:44,231.82,425.7,999.3,500.71,337.73,255.94,157.59
2026/09/06 00:44,230.36,428.91,1016.59,499.7,338.46,258.51,158.78
2026/09/07 00:44,230.36,428.91,1016.59,499.7,338.46,258.51,158.78
2026/09/08 00:44,230.36,428.91,1016.59,499.7,338.46,258.51,158.78
2026/09/09 00:44,227.01,441.76,1025.38,493,338.55,256.84,164.835
2026/09/10 00:44,224.12,434.22,1022.85,491.785,329.345,251.485,161.32
2026/09/11 00:44,218.74,432.12,986.68,492.105,330.355,252.569,159.055
2026/09/12 00:44,219.615,435.305,980.74,496.78,341.397,255.86,153.575
2026/09/13 00:44,218.29,433.24,975.26,495.63,338.5,256.78,150.28
2026/09/14 00:44,218.29,433.24,975.26,495.63,338.5,256.78,150.28
2026/09/15 00:44,212.065,421.815,923.325,505.525,345.658,254.525,144.53
2026/09/16 00:44,212.28,414.36,928.3,499.71,343.25,249.06,143.233
2026/09/17 00:44,216.165,418.15,928.8,493.72,346.03,247.58,143.76
2026/09/18 00:44,219.185,425.905,978.953,497.33,346.78,251.96,151.57
2026/09/19 00:44,219.65,431.24,989.84,494.13,349.925,253.03,145.72
